     1→import '../../../../core/errors/exceptions.dart';
     2→import '../../../../core/errors/failures.dart';
     3→import '../../../../core/utils/result.dart';
     4→import '../../domain/entities/marketplace_entities.dart';
     5→import '../../domain/repositories/marketplace_repository.dart';
     6→import '../datasources/marketplace_remote_datasource.dart';
     7→import '../models/marketplace_models.dart';
     8→
     9→class MarketplaceRepositoryImpl implements MarketplaceRepository {
    10→  MarketplaceRepositoryImpl({required this.remoteDataSource});
    11→  final MarketplaceRemoteDataSource remoteDataSource;
    12→
    13→  // ─── Categories ──────────────────────────────────────────────────────
    14→
    15→  @override
    16→  Future<Result<List<MarketplaceCategoryEntity>>> getCategories({
    17→    bool activeOnly = true,
    18→  }) async {
    19→    try {
    20→      final models = await remoteDataSource.getCategories(activeOnly: activeOnly);
    21→      return Success(models.map((m) => m.toEntity()).toList());
    22→    } on AuthException catch (e) {
    23→      return FailureResult(Failure.auth(message: e.message, code: e.code));
    24→    } on ServerException catch (e) {
    25→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
    26→    } on NetworkException catch (e) {
    27→      return FailureResult(Failure.network(message: e.message));
    28→    } catch (e) {
    29→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
    30→    }
    31→  }
    32→
    33→  @override
    34→  Future<Result<MarketplaceCategoryEntity>> getCategory(String categoryId) async {
    35→    try {
    36→      final model = await remoteDataSource.getCategory(categoryId);
    37→      return Success(model.toEntity());
    38→    } on AuthException catch (e) {
    39→      return FailureResult(Failure.auth(message: e.message, code: e.code));
    40→    } on ServerException catch (e) {
    41→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
    42→    } on NetworkException catch (e) {
    43→      return FailureResult(Failure.network(message: e.message));
    44→    } catch (e) {
    45→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
    46→    }
    47→  }
    48→
    49→  @override
    50→  Future<Result<MarketplaceCategoryEntity>> upsertCategory(
    51→    MarketplaceCategoryEntity category,
    52→  ) async {
    53→    try {
    54→      final model = MarketplaceCategoryModel.fromEntity(category);
    55→      final result = await remoteDataSource.upsertCategory(model);
    56→      return Success(result.toEntity());
    57→    } on AuthException catch (e) {
    58→      return FailureResult(Failure.auth(message: e.message, code: e.code));
    59→    } on ServerException catch (e) {
    60→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
    61→    } on NetworkException catch (e) {
    62→      return FailureResult(Failure.network(message: e.message));
    63→    } catch (e) {
    64→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
    65→    }
    66→  }
    67→
    68→  @override
    69→  Future<Result<bool>> deleteCategory(String categoryId) async {
    70→    try {
    71→      final result = await remoteDataSource.deleteCategory(categoryId);
    72→      return Success(result);
    73→    } on AuthException catch (e) {
    74→      return FailureResult(Failure.auth(message: e.message, code: e.code));
    75→    } on ServerException catch (e) {
    76→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
    77→    } on NetworkException catch (e) {
    78→      return FailureResult(Failure.network(message: e.message));
    79→    } catch (e) {
    80→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
    81→    }
    82→  }
    83→
    84→  // ─── Seller Profiles ─────────────────────────────────────────────────
    85→
    86→  @override
    87→  Future<Result<SellerProfileEntity>> getSellerProfile(String sellerId) async {
    88→    try {
    89→      final model = await remoteDataSource.getSellerProfile(sellerId);
    90→      return Success(model.toEntity());
    91→    } on AuthException catch (e) {
    92→      return FailureResult(Failure.auth(message: e.message, code: e.code));
    93→    } on ServerException catch (e) {
    94→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
    95→    } on NetworkException catch (e) {
    96→      return FailureResult(Failure.network(message: e.message));
    97→    } catch (e) {
    98→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
    99→    }
   100→  }
   101→
   102→  @override
   103→  Future<Result<SellerProfileEntity>> getSellerProfileByUserId(String userId) async {
   104→    try {
   105→      final model = await remoteDataSource.getSellerProfileByUserId(userId);
   106→      return Success(model.toEntity());
   107→    } on AuthException catch (e) {
   108→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   109→    } on ServerException catch (e) {
   110→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   111→    } on NetworkException catch (e) {
   112→      return FailureResult(Failure.network(message: e.message));
   113→    } catch (e) {
   114→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   115→    }
   116→  }
   117→
   118→  @override
   119→  Future<Result<SellerProfileEntity>> upsertSellerProfile(
   120→    SellerProfileEntity profile,
   121→  ) async {
   122→    try {
   123→      final model = SellerProfileModel.fromEntity(profile);
   124→      final result = await remoteDataSource.upsertSellerProfile(model);
   125→      return Success(result.toEntity());
